62,老,lǎo ,prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity,verb,A1,,,17/07/21 19:56,17/07/21 19:57
63,緊張,jǐnzhāng ,nervous,verb,A1,,,17/07/21 19:56,17/07/21 19:57
64,網球,wǎngqiú ,tennis,noun,A1,,,17/07/21 19:56,17/07/21 19:57
65,結婚,jiéhūn ,to marry,verb,A1,,,17/07/21 19:56,17/07/21 19:57
66,籃球,lánqiú ,basketball,noun,A1,,,17/07/21 19:56,17/07/21 19:57
67,窗戶,chuānghu,window,noun,A1,,,17/07/21 19:56,17/07/21 19:57
68,科學,kēxué ,science,noun,A1,,,17/07/21 19:56,17/07/21 19:57
69,秋天,qiūtiān ,autumn,noun,A1,,,17/07/21 19:56,17/07/21 19:57
70,萬,wàn ,ten thousand,noun,A1,,,17/07/21 19:56,17/07/21 19:57
71,禮物,lǐwù ,gift,noun,A1,,,17/07/21 19:56,17/07/21 19:57
72,碗,wǎn ,bowl,noun,A1,,,17/07/21 19:56,17/07/21 19:57
73,矮,ǎi ,little size,verb,A1,,,17/07/21 19:56,17/07/21 19:57
74,短,duǎn ,short,verb,A1,,,17/07/21 19:56,17/07/21 19:57
75,眼鏡,yǎnjìng ,spectacles,noun,A1,,,17/07/21 19:56,17/07/21 19:57
76,盤子,pánzi ,tray,noun,A1,,,17/07/21 19:56,17/07/21 19:57
77,白色,báisè ,white,noun,A1,,,17/07/21 19:56,17/07/21 19:57
78,瘦,shòu ,thin,verb,A1,,,17/07/21 19:56,17/07/21 19:57
79,痛,tòng ,ache,verb,A1,,,17/07/21 19:56,17/07/21 19:57
80,畫,huà,to draw,noun,A1,,,17/07/21 19:56,17/07/21 19:57
81,男生,nánshēng ,boy,noun,A1,,,17/07/21 19:56,17/07/21 19:57
82,生病,shēngbìng ,to fall ill,verb,A1,,,17/07/21 19:56,17/07/21 19:57
83,甜,tián ,sweet,verb,A1,,,17/07/21 19:56,17/07/21 19:57
84,牛奶,niúnǎi ,cow's milk,noun,A1,,,17/07/21 19:56,17/07/21 19:57
85,片,piàn ,disk,measure word,A1,,,17/07/21 19:56,17/07/21 19:57
86,照相機,zhàoxiàngjī ,camera,noun,A1,,,17/07/21 19:56,17/07/21 19:57
87,照相,zhàoxiàng ,to take a photograph,verb,A1,,,17/07/21 19:56,17/07/21 19:57
88,火車,huǒchē ,train,noun,A1,,,17/07/21 19:56,17/07/21 19:57
89,湯,tāng ,soup,noun,A1,,,17/07/21 19:56,17/07/21 19:57
90,湖,hú ,lake,noun,A1,,,17/07/21 19:56,17/07/21 19:57
91,游泳,yóuyǒng ,swimming,verb,A1,,,17/07/21 19:56,17/07/21 19:57
92,渴,kě ,thirsty,verb,A1,,,17/07/21 19:56,17/07/21 19:57
93,海邊,hǎibiān ,coast,noun,A1,,,17/07/21 19:56,17/07/21 19:57
94,洗手間,xǐshǒujiān,toilet,noun,A1,,,17/07/21 19:56,17/07/21 19:57
