id;englishTitle;japaneseTitle;startDate;endDate;year;subtype;status;posterImage;episodeCount;episodeLength;totalLength
2897;Zettai Bouei Leviathan;絶対防衛レヴィアタン;06/04/2013;06/07/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7644/small.jpg?1408461964;13;20;260
2898;Danchi Tomoo;団地ともお;06/04/2013;07/02/2015;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7647/small.jpg?1408461969;78;24;1872
2899;Jewelpet Happiness;ジュエルペット ハッピネス;06/04/2013;29/03/2014;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7650/small.jpg?1460601611;52;0;1282
2900;Haitai Nanafa 2nd Season;はいたい七葉 2;06/04/2013;29/06/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7721/small.jpg?1408462229;13;0;0
2901;Tetsujin 28-gou Gao!;鉄人28号ガオ!;06/04/2013;26/03/2016;2013;TV;finished;https://media.kitsu.io/anime/poster_images/7876/small.jpg?1597691229;151;5;755
2902;Mini Van;みにヴぁん;06/04/2013;28/12/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/8589/small.jpg?1408464887;37;3;111
2903;Tanken Driland: 1000-nen no Mahou;探検ドリランド-1000年の真宝（まほう）-;06/04/2013;29/03/2014;2013;TV;finished;https://media.kitsu.io/anime/poster_images/8809/small.jpg?1409503727;51;24;1224
2904;Boku wa Ou-sama (TV);ぼくは王さま (2013);06/04/2013;22/06/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/8899/small.jpg?1597690761;12;24;288
2905;Baku Tech! Bakugan Gachi;爆TECH!爆丸ガチ;06/04/2013;28/12/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/9111/small.jpg?1411156450;39;5;195
2906;Bakujuu Gasshin Ziguru Hazeru;爆獣合神ジグルハゼル;06/04/2013;01/12/2013;2013;TV;finished;https://media.kitsu.io/anime/poster_images/9161/small.jpg?1411843952;6;2;12
